[1, 117] = 7074.899983
[113, 195] = 3527.499820
[114, 113] = 5343.899814
[115, 114] = 5343.899814
[116, 115] = 4474.899983
[116, 294] = 2600.000000
[117, 116] = 7074.899983
[118, 5] = 4644.200054
[119, 118] = 4644.200054
[120, 119] = 3114.700030
[120, 400] = 3250.000000
[121, 120] = 6364.700030
[122, 121] = 6364.700030
[123, 122] = 6227.400031
[123, 382] = 0.000000
[124, 123] = 6227.400031
[125, 124] = 6227.400031
[125, 366] = 865.300007
[126, 125] = 7092.700038
[127, 126] = 6442.200029
[127, 350] = 0.000000
[128, 127] = 6442.200029
[129, 128] = 6442.200029
[130, 129] = 5933.800020
[130, 324] = 1300.000000
[131, 130] = 7233.800020
[132, 131] = 7233.800020
[132, 314] = 396.100035
[133, 132] = 7629.900055
[134, 133] = 7629.900055
[135, 134] = 7306.100047
[135, 298] = 468.000000
[136, 135] = 7774.100047
[137, 136] = 5651.399989
[138, 60] = 2184.899984
[138, 137] = 3170.699943
[138, 236] = 3744.400073
[139, 138] = 9100.000000
[140, 139] = 6500.000000
[140, 265] = 1556.699977
[141, 140] = 8056.699977
[142, 72] = 4942.600015
[142, 76] = 3507.399985
[143, 142] = 8450.000000
[144, 143] = 8425.599999
[144, 264] = 1991.899994
[145, 144] = 10417.499994
[146, 145] = 5748.200040
[147, 57] = 2401.600011
[147, 146] = 3560.300034
[148, 147] = 5961.900044
[149, 148] = 5490.600043
[149, 297] = 251.299999
[150, 149] = 5741.900042
[151, 150] = 5741.900042
[152, 151] = 4352.900026
[152, 310] = 119.699998
[153, 152] = 4472.600024
[154, 153] = 3013.500004
[154, 323] = 342.299994
[155, 154] = 3355.799999
[156, 155] = 3355.799999
[157, 156] = 3355.799999
[157, 349] = 557.299960
[158, 157] = 3913.099959
[159, 158] = 3106.099960
[159, 365] = 0.000000
[160, 159] = 3106.099960
[161, 160] = 3106.099960
[161, 381] = 253.699999
[162, 161] = 3359.799959
[163, 162] = 3359.799959
[164, 163] = 1788.200006
[164, 399] = 798.600009
[165, 164] = 2586.800015
[166, 6] = 6522.199991
[167, 166] = 6522.199991
[168, 167] = 5485.699995
[168, 409] = 1609.700016
[169, 168] = 7095.400011
[170, 169] = 4888.800041
[171, 170] = 2288.800041
[171, 216] = 420.499949
[172, 171] = 2709.299991
[172, 393] = 0.000000
[173, 172] = 2709.299991
[174, 173] = 2709.299991
[175, 174] = 2709.299991
[175, 377] = 228.299999
[176, 175] = 2937.599990
[177, 176] = 987.599990
[177, 360] = 0.000000
[178, 177] = 987.599990
[179, 178] = 902.099990
[179, 336] = 0.000000
[180, 179] = 902.099990
[181, 180] = 902.099990
[181, 307] = 3250.000000
[182, 181] = 4152.099990
[183, 182] = 4152.099990
[184, 92] = 2074.099914
[184, 112] = 2479.400083
[184, 183] = 2596.500003
[185, 184] = 7150.000000
[186, 185] = 7150.000000
[187, 186] = 5627.000036
[187, 272] = 168.799999
[188, 187] = 5795.800035
[189, 188] = 5795.800035
[190, 63] = 7746.700124
[190, 85] = 0.000000
[191, 190] = 7746.700124
[192, 191] = 7746.700124
[193, 192] = 7300.700116
[193, 271] = 1342.599818
[194, 193] = 8643.299934
[195, 194] = 8643.299934
[196, 92] = 822.999981
[196, 112] = 0.000000
[196, 195] = 5115.800115
[197, 196] = 5938.800095
[198, 197] = 5938.800095
[199, 198] = 3623.299949
[199, 306] = 0.000000
[200, 199] = 3623.299949
[201, 200] = 3381.799949
[201, 335] = 1168.200051
[202, 201] = 4550.000000
[203, 202] = 4550.000000
[203, 359] = 1950.000000
[204, 203] = 6500.000000
[205, 204] = 6112.800138
[205, 376] = 2337.199862
[206, 205] = 8450.000000
[207, 206] = 8450.000000
[208, 207] = 8450.000000
[209, 208] = 3438.299912
[209, 392] = 2600.000000
[210, 209] = 6038.299912
[210, 250] = 0.000000
[211, 210] = 6038.299912
[212, 211] = 4552.199911
[212, 408] = 2024.400080
[213, 212] = 6576.599991
[214, 7] = 4983.599922
[215, 214] = 4983.599922
[216, 215] = 2383.599922
[217, 169] = 2206.599970
[217, 216] = 1963.099973
[218, 217] = 4169.699943
[218, 392] = 431.599998
[219, 218] = 4601.299941
[220, 219] = 4273.599944
[220, 363] = 0.000000
[221, 220] = 4273.599944
[222, 221] = 4273.599944
[223, 222] = 4157.899947
[223, 346] = 1407.799998
[224, 223] = 5565.699945
[225, 224] = 4172.299950
[225, 330] = 997.699997
[226, 225] = 5169.999947
[227, 226] = 5017.499949
[227, 311] = 182.500051
[228, 227] = 5200.000000
[229, 228] = 5166.899999
[229, 277] = 771.699921
[230, 229] = 5938.599920
[231, 56] = 1384.899998
[231, 230] = 3638.899937
[232, 58] = 7150.000000
[232, 231] = 5023.799934
[233, 232] = 12173.799934
[234, 4] = 10223.900094
[235, 234] = 10223.900094
[236, 235] = 8547.700080
[237, 236] = 4803.300007
[238, 55] = 2187.900007
[238, 61] = 0.000000
[238, 237] = 3524.199982
[239, 238] = 5712.099988
[240, 239] = 4447.100001
[240, 299] = 175.899998
[241, 240] = 4622.999999
[242, 241] = 3577.699997
[242, 317] = 225.799997
[243, 242] = 3803.499994
[244, 243] = 3803.499994
[244, 339] = 868.900130
[245, 244] = 4672.400125
[246, 245] = 2600.000000
[246, 347] = 0.000000
[247, 246] = 2600.000000
[248, 247] = 0.000000
[248, 374] = 0.000000
[249, 248] = 0.000000
[250, 249] = 0.000000
[251, 250] = 0.000000
[251, 391] = 2125.400035
[252, 208] = 5011.700088
[252, 251] = 2125.400035
[253, 252] = 7137.100122
[254, 15] = 3703.300019
[254, 255] = 407.099998
[255, 70] = 62.799999
[255, 254] = 3703.300019
[256, 255] = 1754.299981
[256, 266] = 123.900000
[257, 14] = 37.000000
[257, 258] = 125.200000
[258, 68] = 53.800000
[258, 257] = 37.000000
[258, 259] = 71.400000
[259, 80] = 10.000000
[259, 258] = 26.000000
[259, 267] = 61.400000
[260, 66] = 1312.800049
[260, 261] = 0.000000
[261, 82] = 0.000000
[261, 260] = 1312.800049
[261, 269] = 1047.199923
[262, 13] = 592.800002
[262, 273] = 37.000000
[263, 16] = 241.500001
[263, 264] = 249.000003
[264, 143] = 24.400001
[264, 263] = 241.500001
[264, 265] = 2055.699995
[265, 139] = 2600.000000
[265, 264] = 80.700000
[265, 266] = 3466.199970
[266, 24] = 4246.699983
[266, 39] = 0.000000
[266, 256] = 2705.799989
[266, 265] = 2534.499998
[266, 277] = 399.399998
[267, 24] = 5853.499984
[267, 39] = 0.000000
[267, 259] = 25.000000
[267, 268] = 4067.399981
[267, 281] = 135.200001
[268, 25] = 4954.599978
[268, 40] = 0.000000
[268, 267] = 5362.900025
[268, 287] = 543.400009
[269, 25] = 5814.499926
[269, 40] = 0.000000
[269, 261] = 1312.800049
[269, 270] = 1270.499963
[269, 290] = 2452.999992
[270, 269] = 4550.000000
[270, 271] = 1270.499963
[271, 192] = 446.000008
[271, 270] = 4550.000000
[271, 272] = 1270.499963
[272, 186] = 1522.999964
[272, 271] = 3653.400189
[272, 273] = 546.200000
[273, 26] = 560.899996
[273, 41] = 0.000000
[273, 262] = 592.800002
[273, 272] = 4283.300190
[273, 292] = 95.000002
[274, 26] = 3246.100172
[274, 41] = 0.000000
[274, 275] = 501.600003
[274, 293] = 1459.100005
[275, 12] = 501.600003
[275, 274] = 488.200004
[276, 17] = 1183.999997
[276, 296] = 648.300002
[277, 228] = 33.100001
[277, 266] = 656.600013
[277, 299] = 1137.999918
[278, 100] = 0.000000
[278, 279] = 0.000000
[279, 104] = 0.000000
[279, 278] = 0.000000
[279, 280] = 0.000000
[280, 279] = 0.000000
[280, 300] = 0.000000
[281, 267] = 467.499959
[281, 282] = 135.200001
[282, 281] = 467.499959
[282, 283] = 135.200001
[283, 98] = 0.000000
[283, 282] = 467.499959
[283, 284] = 135.200001
[284, 106] = 0.000000
[284, 283] = 467.499959
[284, 285] = 135.200001
[285, 284] = 467.499959
[285, 286] = 135.200001
[286, 285] = 467.499959
[286, 302] = 135.200001
[287, 268] = 887.199997
[287, 288] = 543.400009
[288, 96] = 0.000000
[288, 287] = 887.199997
[288, 289] = 543.400009
[289, 108] = 0.000000
[289, 288] = 887.199997
[289, 303] = 543.400009
[290, 94] = 2261.399986
[290, 269] = 217.300003
[290, 291] = 191.600006
[291, 110] = 0.000000
[291, 290] = 217.300003
[291, 304] = 1085.600000
[292, 273] = 268.899998
[292, 305] = 95.000002
[293, 89] = 2919.400002
[293, 274] = 3297.600173
[293, 294] = 1178.299998
[294, 115] = 868.999831
[294, 293] = 5746.400170
[294, 295] = 3662.899997
[295, 294] = 6500.000000
[295, 308] = 3662.899997
[296, 276] = 1183.999997
[296, 297] = 593.600002
[296, 310] = 54.700001
[297, 148] = 471.300002
[297, 296] = 893.999996
[297, 298] = 373.599999
[298, 134] = 323.800008
[298, 297] = 893.999996
[298, 299] = 308.599999
[299, 239] = 1264.999987
[299, 277] = 656.600013
[299, 298] = 684.800004
[299, 300] = 992.099939
[299, 315] = 454.499979
[300, 280] = 0.000000
[300, 299] = 1819.899994
[300, 301] = 992.099939
[300, 316] = 0.000000
[301, 300] = 1819.899994
[301, 302] = 992.099939
[302, 27] = 2946.399975
[302, 42] = 0.000000
[302, 286] = 467.499959
[302, 301] = 1819.899994
[302, 311] = 757.299982
[303, 27] = 2954.599937
[303, 28] = 3749.599966
[303, 42] = 0.000000
[303, 43] = 0.000000
[303, 289] = 887.199997
[303, 319] = 685.299999
[304, 28] = 2835.099938
[304, 43] = 0.000000
[304, 291] = 217.300003
[304, 305] = 3856.899968
[304, 312] = 225.900005
[305, 292] = 268.899998
[305, 304] = 1886.099944
[305, 306] = 3587.999971
[305, 321] = 0.000000
[306, 198] = 2315.500147
[306, 305] = 1791.099943
[306, 307] = 1338.099997
[307, 180] = 0.000000
[307, 306] = 1856.700116
[307, 308] = 4588.099997
[308, 29] = 8424.399992
[308, 44] = 0.000000
[308, 295] = 6500.000000
[308, 307] = 1856.700116
[308, 309] = 37.000000
[309, 11] = 37.000000
[309, 308] = 485.799996
[310, 151] = 1389.000016
[310, 296] = 290.000001
[310, 313] = 54.700001
[311, 226] = 152.499998
[311, 302] = 1849.500035
[311, 317] = 604.799984
[312, 304] = 272.300002
[312, 320] = 225.900005
[313, 310] = 1559.300020
[313, 314] = 0.000000
[313, 325] = 450.800035
[314, 131] = 0.000000
[314, 313] = 396.100035
[314, 315] = 0.000000
[315, 299] = 610.600012
[315, 314] = 0.000000
[315, 316] = 0.000000
[315, 327] = 650.000000
[316, 300] = 0.000000
[316, 315] = 195.500021
[316, 317] = 1360.199988
[316, 328] = 332.799963
[317, 241] = 1045.300002
[317, 311] = 1666.999984
[317, 316] = 528.299984
[317, 318] = 0.000000
[317, 329] = 76.499999
[318, 317] = 0.000000
[318, 319] = 0.000000
[319, 303] = 1153.099989
[319, 318] = 0.000000
[319, 320] = 28.200001
[319, 330] = 657.099998
[320, 312] = 272.300002
[320, 319] = 0.000000
[320, 321] = 0.000000
[320, 332] = 254.100006
[321, 305] = 0.000000
[321, 320] = 0.000000
[321, 333] = 0.000000
[321, 334] = 0.000000
[322, 18] = 1592.900049
[322, 323] = 2218.300004
[323, 153] = 1459.100019
[323, 322] = 1592.900049
[323, 324] = 1101.499979
[324, 129] = 508.400009
[324, 323] = 1592.900049
[324, 325] = 1352.499973
[325, 313] = 1559.300020
[325, 324] = 1052.300052
[325, 326] = 0.000000
[325, 340] = 1797.500009
[326, 325] = 0.000000
[326, 327] = 0.000000
[327, 315] = 610.600012
[327, 326] = 0.000000
[327, 328] = 805.799975
[327, 341] = 1300.000000
[328, 316] = 1360.199988
[328, 327] = 650.000000
[328, 329] = 1026.899982
[328, 342] = 1069.700003
[329, 31] = 2754.799967
[329, 46] = 0.000000
[329, 317] = 1126.300001
[329, 328] = 1386.900040
[329, 343] = 1300.000000
[330, 31] = 5314.600031
[330, 46] = 0.000000
[330, 224] = 1393.399996
[330, 319] = 1153.099989
[330, 331] = 1294.599980
[330, 339] = 0.000000
[331, 330] = 2992.999908
[331, 332] = 1294.599980
[332, 32] = 1684.299984
[332, 47] = 0.000000
[332, 320] = 272.300002
[332, 331] = 2992.999908
[332, 345] = 302.699999
[333, 32] = 2717.199916
[333, 47] = 0.000000
[333, 321] = 0.000000
[333, 334] = 1496.399975
[333, 358] = 0.000000
[334, 321] = 0.000000
[334, 333] = 2717.199916
[334, 335] = 1496.399975
[335, 200] = 241.500000
[335, 334] = 2717.199916
[335, 336] = 1254.899975
[336, 178] = 85.500000
[336, 335] = 1548.999864
[336, 337] = 1169.399975
[337, 29] = 8350.900106
[337, 33] = 6533.099966
[337, 44] = 0.000000
[337, 48] = 0.000000
[337, 336] = 1548.999864
[337, 338] = 802.200005
[338, 10] = 802.200005
[338, 337] = 105.100001
[339, 243] = 0.000000
[339, 330] = 868.900130
[339, 344] = 0.000000
[340, 30] = 1797.500009
[340, 45] = 0.000000
[340, 325] = 2605.800072
[340, 351] = 0.000000
[341, 30] = 3591.100065
[341, 45] = 0.000000
[341, 327] = 1416.399987
[341, 342] = 1300.000000
[341, 353] = 913.499995
[342, 328] = 1581.299995
[342, 341] = 1254.500028
[342, 343] = 650.000000
[342, 354] = 465.199975
[343, 329] = 1742.999984
[343, 342] = 650.000000
[343, 344] = 0.000000
[343, 355] = 650.000000
[344, 339] = 0.000000
[344, 343] = 0.000000
[344, 356] = 0.000000
[345, 332] = 135.599998
[345, 346] = 302.699999
[346, 222] = 115.699997
[346, 345] = 135.599998
[346, 347] = 1594.800000
[347, 245] = 2072.400125
[347, 346] = 135.599998
[347, 357] = 1594.800000
[348, 18] = 557.299960
[348, 349] = 650.500009
[349, 156] = 0.000000
[349, 348] = 557.299960
[349, 350] = 650.500009
[350, 126] = 650.500009
[350, 349] = 0.000000
[350, 351] = 0.000000
[351, 340] = 0.000000
[351, 350] = 0.000000
[351, 352] = 0.000000
[351, 367] = 0.000000
[352, 351] = 0.000000
[352, 353] = 0.000000
[353, 341] = 1625.200018
[353, 352] = 0.000000
[353, 354] = 286.399978
[353, 369] = 913.499995
[354, 342] = 931.299995
[354, 353] = 0.000000
[354, 355] = 442.999984
[354, 370] = 465.199975
[355, 343] = 1092.999984
[355, 354] = 0.000000
[355, 356] = 0.000000
[355, 371] = 650.000000
[356, 344] = 0.000000
[356, 355] = 0.000000
[356, 357] = 0.000000
[356, 372] = 0.000000
[357, 347] = 2208.000123
[357, 356] = 0.000000
[357, 358] = 0.000000
[357, 373] = 1594.800000
[358, 333] = 0.000000
[358, 357] = 0.000000
[358, 359] = 126.200133
[358, 363] = 0.000000
[359, 202] = 0.000000
[359, 358] = 0.000000
[359, 360] = 2076.200133
[360, 176] = 1950.000000
[360, 359] = 0.000000
[360, 361] = 2076.200133
[361, 33] = 7148.299993
[361, 48] = 0.000000
[361, 360] = 1950.000000
[361, 362] = 357.199995
[361, 378] = 4506.199970
[362, 10] = 357.199995
[362, 361] = 44.200001
[363, 358] = 126.200133
[363, 375] = 0.000000
[364, 19] = 823.100007
[364, 365] = 723.499998
[365, 158] = 806.999999
[365, 364] = 823.100007
[365, 366] = 61.800002
[366, 124] = 0.000000
[366, 365] = 968.400010
[366, 367] = 133.200004
[367, 351] = 0.000000
[367, 366] = 174.500004
[367, 368] = 133.200004
[367, 384] = 0.000000
[368, 367] = 174.500004
[368, 369] = 133.200004
[369, 34] = 1997.799975
[369, 49] = 0.000000
[369, 353] = 1911.599996
[369, 368] = 174.500004
[369, 370] = 1950.000000
[370, 354] = 1087.900001
[370, 369] = 1042.099979
[370, 371] = 862.099999
[370, 386] = 0.000000
[371, 355] = 650.000000
[371, 370] = 576.900004
[371, 372] = 389.299998
[371, 387] = 143.999997
[372, 356] = 0.000000
[372, 371] = 70.900002
[372, 373] = 389.299998
[372, 388] = 0.000000
[373, 35] = 1823.100000
[373, 50] = 0.000000
[373, 357] = 2208.000123
[373, 372] = 70.900002
[373, 374] = 1026.499994
[374, 247] = 2600.000000
[374, 373] = 228.299999
[374, 375] = 1026.499994
[375, 219] = 327.699997
[375, 363] = 126.200133
[375, 374] = 2828.299999
[375, 376] = 572.599864
[375, 390] = 0.000000
[376, 204] = 387.199862
[376, 375] = 2828.299999
[376, 377] = 185.400002
[377, 174] = 0.000000
[377, 376] = 491.100137
[377, 378] = 185.400002
[378, 36] = 4368.799969
[378, 51] = 0.000000
[378, 361] = 5396.699857
[378, 377] = 262.800138
[378, 379] = 335.700003
[379, 9] = 335.700003
[379, 378] = 1486.199994
[380, 19] = 479.099993
[380, 381] = 314.499999
[381, 160] = 0.000000
[381, 380] = 479.099993
[381, 382] = 314.499999
[382, 122] = 137.299999
[382, 381] = 225.399994
[382, 383] = 177.199999
[383, 382] = 225.399994
[383, 384] = 177.199999
[384, 367] = 0.000000
[384, 383] = 225.399994
[384, 385] = 43.100000
[384, 401] = 134.099999
[385, 34] = 720.300009
[385, 49] = 0.000000
[385, 384] = 225.399994
[385, 386] = 650.000000
[385, 402] = 1910.599954
[386, 370] = 0.000000
[386, 385] = 685.799999
[386, 387] = 650.000000
[386, 403] = 0.000000
[387, 371] = 177.199999
[387, 386] = 685.799999
[387, 388] = 716.700006
[387, 404] = 265.800000
[388, 372] = 0.000000
[388, 387] = 807.600002
[388, 389] = 488.500009
[388, 405] = 228.199998
[389, 35] = 1888.600126
[389, 50] = 0.000000
[389, 388] = 732.500003
[389, 390] = 0.000000
[389, 406] = 1603.000007
[390, 375] = 0.000000
[390, 389] = 372.300001
[390, 391] = 966.099999
[390, 407] = 2371.100001
[391, 249] = 0.000000
[391, 390] = 2743.400002
[391, 392] = 1732.400021
[392, 207] = 0.000000
[392, 391] = 1384.299989
[392, 393] = 4764.000020
[393, 170] = 2600.000000
[393, 392] = 1384.299989
[393, 394] = 4117.599995
[394, 36] = 4034.999998
[394, 51] = 0.000000
[394, 393] = 3337.899965
[394, 395] = 497.099996
[394, 396] = 1557.000013
[395, 9] = 497.099996
[395, 394] = 751.300008
[396, 215] = 2600.000000
[396, 394] = 372.400000
[396, 410] = 17.000000
[397, 20] = 6087.099987
[397, 398] = 503.599995
[398, 397] = 6087.099987
[398, 399] = 503.599995
[399, 163] = 1571.599952
[399, 398] = 6087.099987
[399, 400] = 868.900001
[400, 119] = 1529.500024
[400, 399] = 7225.399937
[400, 401] = 1672.500012
[401, 37] = 1806.600011
[401, 52] = 0.000000
[401, 384] = 0.000000
[401, 400] = 6308.499971
[402, 37] = 6236.599975
[402, 52] = 0.000000
[402, 385] = 352.100002
[402, 403] = 918.300007
[402, 412] = 948.000002
[403, 386] = 0.000000
[403, 402] = 3353.899991
[403, 404] = 918.300007
[404, 387] = 243.900006
[404, 403] = 3353.899991
[404, 405] = 1969.200002
[404, 413] = 1111.900007
[405, 388] = 75.099998
[405, 404] = 4199.999998
[405, 406] = 1950.000000
[405, 414] = 247.399999
[406, 38] = 3901.000003
[406, 53] = 0.000000
[406, 389] = 1729.000120
[406, 405] = 3900.000000
[406, 415] = 1196.199996
[407, 38] = 6328.000103
[407, 53] = 0.000000
[407, 390] = 966.099999
[407, 408] = 3045.099992
[407, 416] = 387.899997
[408, 211] = 1486.100001
[408, 407] = 3426.300099
[408, 409] = 2037.899984
[409, 167] = 1036.499996
[409, 408] = 1880.800013
[409, 410] = 1044.199987
[410, 396] = 1432.399987
[410, 409] = 313.899996
[410, 411] = 37.000000
[411, 8] = 37.000000
[411, 410] = 722.099996
[412, 21] = 948.000002
[412, 402] = 1347.000029
[413, 21] = 1111.900007
[413, 404] = 1294.800000
[414, 22] = 247.399999
[414, 405] = 375.099996
[415, 22] = 1196.199996
[415, 406] = 1149.300000
[416, 23] = 387.899997
[416, 407] = 1522.499995

